chr	start	end	value
chr2A	131707648	131707649	-0.014726783
chr2A	141897730	141897731	-0.081871444
chr2A	144861172	144861173	-0.139014301
chr2A	160845398	160845399	-0.115250722
chr2A	167950947	167950948	-0.026504698
chr2A	170469903	170469904	0.00032611
chr2A	171611670	171611671	-0.086319853
chr2A	172216700	172216701	-0.012102404
chr2A	178573524	178573525	-0.01353225
chr2A	195818412	195818413	0.054379005
chr2A	197088513	197088514	0.115132111
chr2A	203905042	203905043	-0.008210896
chr2A	211915106	211915107	-0.066360405
chr2A	258350708	258350709	-0.098286812
chr2A	272967817	272967818	-0.093822527
chr2A	277600246	277600247	-0.01547619
chr2A	278918636	278918637	-0.039285714
chr2A	283950500	283950501	-0.116603005
chr2A	319037617	319037618	-0.188031576
chr2A	334590695	334590696	-0.20210084
chr2A	360425050	360425051	-0.144957983
chr2A	362049004	362049005	0.045238095
chr2A	367658089	367658090	0.053973168
chr2A	378849964	378849965	0.04829135
chr2A	384893323	384893324	0.047141229
chr2A	389223720	389223721	0.144760277
chr2A	390888748	390888749	0.188851234
chr2A	391872851	391872852	0.164641748
chr2A	394752133	394752134	0.103291869
chr2A	453512871	453512872	-0.095120829
chr2A	467224980	467224981	-0.056228433
chr2A	471516905	471516906	-0.013179234
chr2A	499578946	499578947	-0.013897625
chr2A	501843262	501843263	-0.035679732
chr2A	507697158	507697159	-0.047636254
chr2A	511123670	511123671	-0.094127482
chr2A	519403393	519403394	-0.030909091
chr2A	520562497	520562498	0.0375
chr2A	522497105	522497106	0.004178538
chr2A	524145904	524145905	0.016542626
chr2A	526302238	526302239	0.037375959
chr2A	535414946	535414947	-0.025124041
chr2A	535713088	535713089	-0.013772275
chr2A	542455034	542455035	-0.098883573
chr2A	543184127	543184128	-0.147974482
chr2A	553269851	553269852	-0.144047049
chr2A	554519997	554519998	-0.188804518
chr2A	563770067	563770068	-0.169944869
chr2A	564264267	564264268	-0.160919383
chr2A	568415139	568415140	-0.025228593
chr2A	570930947	570930948	0.069429526
chr2A	574975139	574975140	0.158890311
chr2A	576074341	576074342	0.161683007
chr2A	581942166	581942167	0.023395655
chr2A	593302928	593302929	0.050940006
chr2A	600916424	600916425	-0.01572666
chr2A	611304801	611304802	-0.136794995
chr2A	612422030	612422031	-0.210469188
chr2A	612847732	612847733	-0.270588235
chr2A	615739783	615739784	-0.218315508
chr2A	623941955	623941956	-0.127854982
chr2A	642201463	642201464	-0.042601714
chr2A	642908968	642908969	-0.038927658
chr2A	654908017	654908018	-0.048833438
chr2A	657810186	657810187	0.048916263
chr2A	660284362	660284363	0.099402745
chr2A	662333767	662333768	0.008228689
chr2A	666555569	666555570	0.007456922
chr2A	670234664	670234665	-0.076797386
chr2A	678125014	678125015	-0.040994916
chr2A	679976754	679976755	-0.18936093
chr2A	681094047	681094048	-0.40308642
chr2A	687313572	687313573	-0.406376812
chr2A	688621454	688621455	-0.309590301
chr2A	688629284	688629285	-0.254530777
chr2A	692039780	692039781	-0.087864111
chr2A	699874418	699874419	-0.104422965
chr2A	705847297	705847298	-0.162115273
chr2A	715415853	715415854	-0.164566396
chr2A	718383623	718383624	0.0625
chr2A	723061913	723061914	-0.026234568
chr2A	724620346	724620347	-0.063249454
chr2A	729823036	729823037	0.07756291
chr2A	729835481	729835482	0.056729576
chr2A	733927002	733927003	0.071670654
chr2A	734629911	734629912	0.066287879
chr2A	739253525	739253526	-0.041666667
chr2A	739431672	739431673	-0.241666667
chr2A	746599255	746599256	-0.153030303
chr2A	746620732	746620733	-0.259090909
chr2A	748444113	748444114	-0.038674927
chr2A	750953746	750953747	-0.129584018
chr2A	754358606	754358607	-0.033023171
chr2A	755788109	755788110	0.006283069
chr2A	758403523	758403524	0.063045635
chr2A	759464233	759464234	0.188045635
chr2A	760599679	760599680	0.152556818
chr2A	765374366	765374367	0.053598485
chr2A	771191868	771191869	0.120265152
chr2A	771242255	771242256	-0.037343544
chr2A	771340514	771340515	-0.092391304
chr2A	771772859	771772860	-0.050724638
chr2A	777521389	777521390	-0.245169082
chr2B	4472737	4472738	-0.188570487
chr2B	8133536	8133537	-0.0963664
chr2B	13274144	13274145	-0.0338664
chr2B	13481537	13481538	-0.006088622
chr2B	18932814	18932815	-0.034046775
chr2B	19102621	19102622	-0.101190476
chr2B	19414370	19414371	-0.084096459
chr2B	23541962	23541963	-0.0503663
chr2B	27617152	27617153	-0.071398046
chr2B	27720899	27720900	0.004246795
chr2B	28884882	28884883	-0.024751984
chr2B	57779041	57779042	-0.06572852
chr2B	58826388	58826389	-0.077605596
chr2B	88179131	88179132	-0.088603973
chr2B	93933339	93933340	-0.227340236
chr2B	110466288	110466289	-0.097177193
chr2B	134243036	134243037	-0.17524045
chr2B	139354229	139354230	0.115561341
chr2B	154903218	154903219	-0.044242581
chr2B	165506612	165506613	-0.158181936
chr2B	166611366	166611367	-0.141597169
chr2B	175647823	175647824	0.040942513
chr2B	186375027	186375028	0.229545455
chr2B	189503317	189503318	0.425974026
chr2B	189623602	189623603	0.421428571
chr2B	194642708	194642709	0.153571429
chr2B	200569039	200569040	0.015533151
chr2B	206119065	206119066	0.06910458
chr2B	228758843	228758844	0.130468216
chr2B	239846409	239846410	0.126262626
chr2B	246363940	246363941	-0.028499278
chr2B	359862847	359862848	0.06024531
chr2B	367789265	367789266	0.000968691
chr2B	369501656	369501657	0.000968691
chr2B	371562213	371562214	-0.042708915
chr2B	375537369	375537370	-0.146972457
chr2B	378682710	378682711	-0.084007165
chr2B	384671383	384671384	-0.060142923
chr2B	387081512	387081513	0.080856112
chr2B	401150438	401150439	0.02035547
chr2B	404745207	404745208	0.25160547
chr2B	409343534	409343535	0.287265038
chr2B	415444054	415444055	0.204091961
chr2B	416186421	416186422	0.290934066
chr2B	417081055	417081056	0.186233211
chr2B	453811147	453811148	0.238176638
chr2B	464467048	464467049	0.267938543
chr2B	465133972	465133973	-0.11468254
chr2B	478190327	478190328	-0.08981397
chr2B	481119514	481119515	-0.175761453
chr2B	485926282	485926283	0.013127436
chr2B	491023461	491023462	0.203911143
chr2B	494264599	494264600	0.183153137
chr2B	512357563	512357564	0.202090965
chr2B	518741738	518741739	0.166376679
chr2B	525075898	525075899	-0.039575702
chr2B	527308162	527308163	-0.028128816
chr2B	527884519	527884520	-0.185714286
chr2B	529695744	529695745	-0.16084507
chr2B	552340531	552340532	-0.091124986
chr2B	575148696	575148697	-0.112191784
chr2B	576693259	576693260	0.024266549
chr2B	583554660	583554661	-0.069055047
chr2B	585895532	585895533	-0.129461406
chr2B	616954575	616954576	-0.150061275
chr2B	625934293	625934294	-0.093504902
chr2B	631726105	631726106	0.093995098
chr2B	632169222	632169223	0.096586134
chr2B	647742288	647742289	-0.070080532
chr2B	657301018	657301019	-0.429497354
chr2B	671213549	671213550	-0.363603989
chr2B	673170839	673170840	-0.094540808
chr2B	683309106	683309107	-0.007065174
chr2B	687635154	687635155	-0.075700243
chr2B	690218224	690218225	-0.048378522
chr2B	708186066	708186067	0.141262247
chr2B	719520083	719520084	0.196902863
chr2B	724692665	724692666	0.107797655
chr2B	732599076	732599077	-0.066699416
chr2B	741248063	741248064	-0.046582457
chr2B	742454819	742454820	-0.159936843
chr2B	746322603	746322604	-0.165144088
chr2B	749419881	749419882	-0.080567581
chr2B	752857591	752857592	-0.143067581
chr2B	758899560	758899561	-0.087512025
chr2B	762028129	762028130	-0.062169312
chr2B	775360153	775360154	-0.136548637
chr2B	776748496	776748497	0.026645808
chr2B	777114387	777114388	0.155448142
chr2B	777514967	777514968	0.182233856
chr2B	779360941	779360942	0.004540678
chr2B	779837507	779837508	-0.407936508
chr2B	801224989	801224990	-0.450505051
chr3A	431211	431212	-0.337878788
chr3A	1380838	1380839	-0.246212121
chr3A	7498162	7498163	0.011936027
chr3A	8795717	8795718	0.015291005
chr3A	9845587	9845588	0.028624339
chr3A	10302235	10302236	-0.114232804
chr3A	19881018	19881019	-0.256834734
chr3A	20101724	20101725	-0.347310924
chr3A	20772071	20772072	-0.301334948
chr3A	28126301	28126302	-0.196879059
chr3A	32427820	32427821	-0.033540143
chr3A	61319480	61319481	0.031043191
chr3A	66508726	66508727	0.221733881
chr3A	78902692	78902693	0.275
chr3A	86457821	86457822	0.496114865
chr3A	90863038	90863039	0.627172557
chr3A	108458216	108458217	0.380148748
chr3A	120802099	120802100	0.383252633
chr3A	121479890	121479891	0.160311456
chr3A	127194276	127194277	0.048003764
chr3A	128078323	128078324	0.058737251
chr3A	128308855	128308856	0.040768501
chr3A	128540386	128540387	0.002840112
chr3A	148605875	148605876	-0.004104332
chr3A	177702727	177702728	-0.01781401
chr3A	204828693	204828694	0.008073087
chr3A	206628048	206628049	-0.034087651
chr3A	219800565	219800566	0.056190127
chr3A	243866871	243866872	0.056190127
chr3A	275291911	275291912	0.040719697
chr3A	290449488	290449489	0.065972222
chr3A	309341213	309341214	0.024305556
chr3A	315889068	315889069	0.124305556
chr3A	322329000	322329001	0.147222222
chr3A	360832128	360832129	0.243297774
chr3A	383699041	383699042	0.201631107
chr3A	412375457	412375458	0.182571269
chr3A	418589343	418589344	0.091507571
chr3A	427765357	427765358	0.208174237
chr3A	437870333	437870334	0.147797345
chr3A	439290236	439290237	0.129363517
chr3A	443420954	443420955	0.083530184
chr3A	444458518	444458519	0.071787759
chr3A	447273234	447273235	0.080121093
chr3A	468587020	468587021	-0.021546346
chr3A	489568462	489568463	0.06372549
chr3A	498787790	498787791	0.15
chr3A	502843190	502843191	-0.011111111
chr3A	506667968	506667969	0.116666667
chr3A	507595876	507595877	0.033333333
chr3A	515284069	515284070	0.070887446
chr3A	519085551	519085552	0.154220779
chr3A	529215791	529215792	0.029220779
chr3A	529614627	529614628	0.029605395
chr3A	532857927	532857928	0.031634615
chr3A	538016776	538016777	0.031634615
chr3A	539376567	539376568	0.068822115
chr3A	549418397	549418398	0.154747024
chr3A	556553794	556553795	0.098881639
chr3A	556666236	556666237	0.22009376
chr3A	558516320	558516321	0.18548358
chr3A	558892041	558892042	0.099174056
chr3A	562285903	562285904	0.123789441
chr3A	586892505	586892506	-0.018256014
chr3A	588947329	588947330	0.0375
chr3A	597233810	597233811	0.125886525
chr3A	601543711	601543712	0.125886525
chr3A	606672179	606672180	0.234219858
chr3A	607487010	607487011	0.175886525
chr3A	610524964	610524965	0.0875
chr3A	613169064	613169065	0.0875
chr3A	618166495	618166496	0.071590909
chr3A	621319433	621319434	0.178733766
chr3A	627966266	627966267	0.259090909
chr3A	657616838	657616839	0.373538961
chr3A	663580858	663580859	0.481948052
chr3A	680354969	680354970	0.324805195
chr3A	681464613	681464614	0.431948052
chr3A	686162154	686162155	0.481319876
chr3A	703204615	703204616	0.438339107
chr3A	714034538	714034539	0.450119453
chr3A	731226256	731226257	0.244526541
chr3A	737209116	737209117	0.172945344
chr3A	738900729	738900730	0.171563747
chr3B	265589	265590	0.15480859
chr3B	3028386	3028387	0.065919701
chr3B	11562431	11562432	0.074028208
chr3B	14023391	14023392	0.222187822
chr3B	14986158	14986159	0.287628999
chr3B	18156348	18156349	0.278734973
chr3B	19166236	19166237	0.220228077
chr3B	20459804	20459805	0.079821915
chr3B	22517511	22517512	0.100655248
chr3B	23782425	23782426	0.188103196
chr3B	39571155	39571156	0.460294118
chr3B	52836839	52836840	0.21281937
chr3B	65328055	65328056	0.053245541
chr3B	72237488	72237489	0.030318771
chr3B	72713626	72713627	-0.130250335
chr3B	72952304	72952305	-0.027977608
chr3B	79561498	79561499	-0.003517824
chr3B	82070835	82070836	0.037347561
chr3B	84738535	84738536	0.03125
chr3B	89093560	89093561	0.03125
chr3B	92124277	92124278	0.03125
chr3B	94866011	94866012	0
chr3B	97087512	97087513	-0.019480519
chr3B	99698025	99698026	-0.058528139
chr3B	117589430	117589431	-0.183528139
chr3B	142870026	142870027	-0.266861472
chr3B	158209948	158209949	-0.027777778
chr3B	163664381	163664382	0.188888889
chr3B	166654029	166654030	0.31372549
chr3B	171591228	171591229	0.281031666
chr3B	174463601	174463602	0.032420554
chr3B	179673416	179673417	-0.058109749
chr3B	182387564	182387565	-0.244781145
chr3B	237292008	237292009	-0.179731588
chr3B	239882539	239882540	-0.132834041
chr3B	256254735	256254736	-0.121615437
chr3B	269253648	269253649	-0.066059882
chr3B	279682187	279682188	-0.053735938
chr3B	341211029	341211030	-0.035878795
chr3B	342884913	342884914	-0.170138889
chr3B	351990173	351990174	-0.104495614
chr3B	361012619	361012620	-0.062828947
chr3B	369047123	369047124	0.062171053
chr3B	373843474	373843475	0.192253884
chr3B	379682016	379682017	0.194751697
chr3B	397675815	397675816	0.216271844
chr3B	407187970	407187971	0.091271844
chr3B	409604762	409604763	0.189807434
chr3B	413805555	413805556	0.141805234
chr3B	418473776	418473777	0.130476006
chr3B	420412024	420412025	0.130476006
chr3B	428089688	428089689	0.04925452
chr3B	439466009	439466010	-0.013001974
chr3B	440228927	440228928	-0.040009122
chr3B	445883507	445883508	-0.116398011
chr3B	450224189	450224190	-0.307544945
chr3B	452552838	452552839	-0.197967023
chr3B	455055770	455055771	-0.19156746
chr3B	465339391	465339392	-0.07032563
chr3B	465502733	465502734	0.111545979
chr3B	469637525	469637526	0.099641217
chr3B	522031599	522031600	0.062956435
chr3B	527302156	527302157	0.026404898
chr3B	527659084	527659085	-0.122133378
chr3B	534195355	534195356	-0.190585759
chr3B	539671799	539671800	-0.279978562
chr3B	545068595	545068596	-0.26122369
chr3B	553729877	553729878	-0.173128452
chr3B	581639672	581639673	0.00643504
chr3B	588478687	588478688	0.154040404
chr3B	593562555	593562556	0.142247285
chr3B	596600443	596600444	0.304152047
chr3B	598189096	598189097	0.18772631
chr3B	615879769	615879770	0.166546773
chr3B	628120259	628120260	0.151283615
chr3B	636249037	636249038	0.234616948
chr3B	650598740	650598741	0.134845789
chr3B	656283444	656283445	-0.084252451
chr3B	668075524	668075525	-0.073034502
chr3B	668146375	668146376	-0.156367836
chr3B	670697991	670697992	0.004020979
chr3B	679632399	679632400	0.232874362
chr3B	690389744	690389745	0.256271798
chr3B	721041515	721041516	0.125101215
chr3B	725388676	725388677	-0.078846154
chr3B	732433534	732433535	-0.103933277
chr3B	733563307	733563308	-0.161283291
chr3B	750900976	750900977	-0.379140434
chr3B	761903309	761903310	-0.26193105
chr3B	765671007	765671008	-0.242474682
chr3B	772894280	772894281	-0.075808016
chr3B	780511877	780511878	0.165326736
chr3B	795184739	795184740	0.148311452
chr3B	797451239	797451240	0.113055042
chr3B	798494826	798494827	0.042221708
chr3B	804670403	804670404	0.076086957
chr3B	810532842	810532843	-0.016572398
chr3B	811658416	811658417	0.045927602
chr3B	815873750	815873751	-0.180429864
chr3B	826096414	826096415	0.048809524
chr4A	4637493	4637494	-0.007857143
chr4A	11810828	11810829	-0.052483766
chr4A	13654529	13654530	0.093349567
chr4A	17745301	17745302	0.119242424
chr4A	17897586	17897587	0.134536542
chr4A	29069016	29069017	0.005392157
chr4A	37820532	37820533	-0.25
chr4A	45337458	45337459	-0.161835749
chr4A	46283622	46283623	-0.128698823
chr4A	46424494	46424495	-0.028698823
chr4A	47628574	47628575	0.001624031
chr4A	66147774	66147775	-0.017458094
chr4A	80174303	80174304	0.089814815
chr4A	87400231	87400232	-0.024470899
chr4A	104267601	104267602	0.01007326
chr4A	106341797	106341798	0.068406593
chr4A	111054144	111054145	-0.040888278
chr4A	115788198	115788199	-0.001602564
chr4A	117669427	117669428	-0.105723443
chr4A	117704747	117704748	-0.064056777
chr4A	119088564	119088565	-0.053296703
chr4A	121155253	121155254	-0.070779221
chr4A	136277039	136277040	-0.048160173
chr4A	164511205	164511206	-0.048160173
chr4A	171206196	171206197	-0.041292041
chr4A	175401651	175401652	-0.028097517
chr4A	185989424	185989425	-0.12095466
chr4A	217349758	217349759	-0.233495103
chr4A	219176597	219176598	-0.227777778
chr4A	236149052	236149053	-0.154708918
chr4A	306320570	306320571	-0.153967303
chr4A	338748857	338748858	-0.215536405
chr4A	358864888	358864889	-0.215536405
chr4A	379040224	379040225	-0.278671383
chr4A	380137496	380137497	-0.240735768
chr4A	409036770	409036771	-0.108682984
chr4A	422762421	422762422	0.021756022
chr4A	439010082	439010083	0
chr4A	453299603	453299604	0
chr4A	467250091	467250092	0
chr4A	479902581	479902582	0
chr4A	483380935	483380936	0
chr4A	489091341	489091342	0.020833333
chr4A	490593922	490593923	0.170833333
chr4A	491452826	491452827	0.130833333
chr4A	491688241	491688242	0.130833333
chr4A	496071891	496071892	0.11
chr4A	498693689	498693690	0.126666667
chr4A	500149707	500149708	0.166666667
chr4A	501959494	501959495	0.166666667
chr4A	511045996	511045997	0.140898345
chr4A	513804915	513804916	-0.040333539
chr4A	527124960	527124961	-0.040333539
chr4A	547980069	547980070	-0.06479066
chr4A	550500326	550500327	-0.063148148
chr4A	558219561	558219562	-0.063148148
chr4A	567326996	567326997	-0.047361111
chr4A	576039902	576039903	-0.107083333
chr4A	576052932	576052933	-0.260416667
chr4A	580710540	580710541	-0.260416667
chr4A	581470015	581470016	-0.260416667
chr4A	582525165	582525166	-0.325
chr4A	584521046	584521047	-0.158333333
chr4A	584885129	584885130	-0.158333333
chr4A	590502105	590502106	-0.308333333
chr4A	591073757	591073758	-0.15
chr4A	591848840	591848841	-0.139966555
chr4A	594140853	594140854	-0.139966555
chr4A	595283962	595283963	0.010033445
chr4A	595375339	595375340	0.010033445
chr4A	596506124	596506125	0
chr4A	596840295	596840296	0
chr4A	597914165	597914166	0
chr4A	599732174	599732175	-0.051948052
chr4A	603511488	603511489	-0.051948052
chr4A	605027062	605027063	-0.051948052
chr4A	605642764	605642765	-0.051948052
chr4A	605723199	605723200	0.071428571
chr4A	606805813	606805814	-0.011904762
chr4A	608608678	608608679	0.01914787
chr4A	610619861	610619862	0.01914787
chr4A	613402056	613402057	-0.056447368
chr4A	613568398	613568399	0.034360566
chr4A	613812521	613812522	0.021165077
chr4A	616985135	616985136	-0.030208878
chr4A	621813723	621813724	0.005564462
chr4A	624936719	624936720	0.048089861
chr4A	625253359	625253360	0.019816051
chr4A	625883502	625883503	0.059166412
chr4A	626022572	626022573	0.05728002
chr4A	627052074	627052075	0.005921324
chr4A	628088178	628088179	0.011576086
chr4A	630770148	630770149	-0.013900321
chr4A	647181260	647181261	-0.028350619
chr4A	661050272	661050273	0.003266596
chr4A	665442161	665442162	0.072982839
chr4A	669830836	669830837	0.148944377
chr4A	673718380	673718381	0.189229951
chr4A	675600875	675600876	0.110757146
chr4A	675955262	675955263	0.038543807
chr4A	678872658	678872659	-0.014623614
chr4A	680453264	680453265	-0.052885936
chr4A	686548310	686548311	0.074197397
chr4A	686594075	686594076	0.100900843
chr4A	699795818	699795819	0.0903542
chr4A	708650319	708650320	0.048236405
chr4A	710272018	710272019	-0.021312467
chr4A	718424416	718424417	-0.020672515
chr4A	722843990	722843991	0.018896613
chr4A	722884948	722884949	-0.037842457
chr4A	725671133	725671134	-0.064096128
chr4A	732520383	732520384	-0.064096128
chr4A	732770579	732770580	-0.052061922
chr4A	733839164	733839165	0.024405288
chr4A	737334869	737334870	0.163294177
chr4A	737412731	737412732	0.163294177
chr4A	738746921	738746922	0.175695125
chr4A	738782216	738782217	0.101212043
chr4A	739035709	739035710	-0.043629227
chr4A	739524624	739524625	-0.043629227
chr4A	742558836	742558837	-0.066186418
chr4A	742824315	742824316	-0.034936418
chr4B	4300020	4300021	-0.076603084
chr4B	13422533	13422534	-0.150132496
chr4B	14125269	14125270	-0.109150327
chr4B	15760474	15760475	-0.090631808
chr4B	17017367	17017368	-0.083501684
chr4B	17489948	17489949	-0.128312537
chr4B	24918915	24918916	-0.1885918
chr4B	26794124	26794125	-0.097682709
chr4B	27186306	27186307	-0.01010101
chr4B	27533725	27533726	0.075757576
chr4B	27641734	27641735	0.005514135
chr4B	27905057	27905058	-0.025468771
chr4B	28416600	28416601	-0.025468771
chr4B	28490698	28490699	-0.161877501
chr4B	28626234	28626235	-0.084058303
